x,y,label
1.83,0.03,1
-0.05,1.03,0
0.29,-0.23,1
-0.52,0.93,0
-0.04,1.02,0
0.27,-0.18,1
0.34,-0.27,1
0.14,0.02,1
1.87,0.05,1
0.03,0.13,1
0.46,0.85,0
0.49,-0.38,1
0.52,-0.30,1
1.05,0.24,0
-0.03,1.07,0
0.22,-0.08,1
0.83,0.61,0
0.10,0.04,1
0.80,-0.47,1
-1.05,-0.01,0
0.10,0.08,1
0.82,-0.46,1
1.23,-0.40,1
0.05,0.23,1
0.22,-0.17,1
-0.97,0.61,0
1.76,-0.12,1
1.91,0.23,1
0.07,0.13,1
0.33,0.96,0
-0.36,0.94,0
-0.89,0.41,0
-0.05,1.08,0
0.90,0.29,0
1.06,-0.45,1
-0.75,0.62,0
1.07,0.29,0
0.59,0.81,0
0.04,0.18,1
-0.63,0.73,0
1.71,-0.31,1
1.99,0.12,1
-0.83,0.53,0
1.07,0.04,0
-0.93,0.44,0
1.75,-0.18,1
-0.87,0.28,0
-0.98,0.22,0
0.93,0.24,0
0.32,-0.24,1
1.98,0.29,1
1.41,-0.46,1
0.12,1.03,0
0.75,-0.47,1
-1.08,0.23,0
0.44,-0.29,1
1.34,-0.38,1
0.42,0.94,0
-0.90,0.43,0
1.92,-0.01,1
1.94,0.44,1
0.83,0.53,0
-0.52,0.88,0
1.90,-0.03,1
-0.05,1.00,0
1.30,-0.33,1
0.55,0.84,0
0.00,0.54,1
0.99,0.01,0
0.64,0.74,0
0.04,-0.06,1
-0.91,0.53,0
-0.39,0.92,0
1.50,-0.42,1
1.79,-0.20,1
0.08,0.20,1
1.97,-0.09,1
0.89,-0.42,1
-0.86,0.67,0
-0.01,0.24,1
0.68,-0.47,1
-0.03,0.30,1
0.86,0.46,0
1.61,-0.33,1
0.17,-0.01,1
1.03,0.14,0
-0.99,0.25,0
0.60,-0.42,1
1.95,0.22,1
0.94,0.41,0
1.64,-0.24,1
0.84,0.64,0
1.94,0.44,1
0.70,0.59,0
-0.90,0.57,0
1.97,0.33,1
0.23,-0.08,1
0.10,1.14,0
0.93,-0.49,1
1.72,-0.13,1
-0.62,0.69,0
-0.03,0.38,1
0.48,0.91,0
1.01,-0.43,1
-0.23,1.01,0
0.57,-0.35,1
0.69,0.69,0
0.93,0.39,0
0.05,1.02,0
0.83,-0.53,1
1.83,-0.15,1
0.93,0.19,0
0.31,-0.08,1
-0.53,0.81,0
-0.74,0.43,0
0.89,0.50,0
1.67,-0.29,1
0.04,-0.02,1
-0.98,0.10,0
1.38,-0.39,1
0.86,0.51,0
0.37,-0.38,1
1.62,-0.36,1
0.03,0.96,0
0.28,0.94,0
0.78,0.67,0
0.81,0.59,0
0.75,0.58,0
0.07,1.08,0
0.26,0.97,0
1.12,-0.45,1
0.84,-0.46,1
1.16,-0.52,1
-0.92,0.29,0
-0.90,0.37,0
0.78,-0.45,1
-0.75,0.73,0
-0.90,0.35,0
1.41,-0.36,1
-0.93,0.35,0
1.10,-0.44,1
2.01,0.18,1
0.06,0.10,1
1.87,0.10,1
1.92,0.15,1
-0.37,0.98,0
-0.94,0.14,0
1.92,0.24,1
0.34,0.91,0
-0.37,1.00,0
1.01,0.16,0
-0.07,1.00,0
0.61,-0.41,1
-0.42,0.92,0
1.54,-0.36,1
1.29,-0.48,1
1.65,-0.22,1
0.26,0.91,0
0.79,0.63,0
-0.55,0.89,0
-0.59,0.85,0
1.20,-0.46,1
0.80,0.53,0
2.01,0.36,1
1.04,-0.49,1
0.15,-0.09,1
-0.85,0.35,0
0.42,-0.27,1
1.99,0.42,1
2.01,0.42,1
0.55,0.86,0
-0.49,0.82,0
2.03,0.38,1
0.53,-0.38,1
0.95,-0.46,1
-0.92,0.29,0
0.70,0.75,0
0.98,0.16,0
0.98,-0.49,1
0.64,0.85,0
-0.92,0.06,0
-0.44,0.91,0
1.56,-0.39,1
0.35,0.94,0
1.38,-0.46,1
-1.00,0.27,0
-0.88,0.57,0
0.02,0.26,1
-0.28,0.99,0
-0.77,0.69,0
-0.20,0.83,0
0.65,0.71,0
0.68,0.78,0
0.82,0.60,0
-0.97,-0.06,0
-1.03,0.03,0
0.03,0.41,1
0.54,-0.31,1
1.98,0.28,1
0.86,-0.49,1
0.11,0.06,1
0.94,0.35,0
0.99,0.26,0
-0.36,0.95,0
1.89,0.30,1
-0.22,1.05,0
0.05,0.15,1
0.66,-0.44,1
-0.88,0.52,0
-0.51,0.77,0
0.74,0.72,0
-0.26,1.03,0
0.13,0.07,1
0.93,0.47,0
0.70,0.66,0
-0.98,0.39,0
-0.95,0.23,0
1.04,0.41,0
1.10,-0.55,1
0.98,-0.48,1
0.87,-0.55,1
1.31,-0.41,1
0.52,-0.35,1
0.24,-0.19,1
0.28,0.97,0
0.50,0.82,0
1.05,0.01,0
0.23,-0.12,1
0.92,0.44,0
1.02,0.19,0
0.05,1.06,0
0.02,0.46,1
1.50,-0.37,1
-0.76,0.76,0
0.01,0.24,1
0.06,0.06,1
0.68,-0.41,1
1.62,-0.25,1
0.44,-0.33,1
0.31,0.87,0
-0.93,0.43,0
0.82,-0.44,1
1.90,-0.02,1
0.95,-0.49,1
0.56,-0.34,1
-0.19,1.00,0
-0.51,0.85,0
-0.04,0.39,1
1.53,-0.43,1
0.13,-0.07,1
0.96,0.34,0
-0.01,0.52,1
-0.19,0.98,0
0.42,-0.25,1
1.77,-0.12,1
-0.16,0.91,0
1.90,-0.07,1
-0.04,0.22,1
0.43,-0.35,1
-0.04,0.49,1
1.34,-0.47,1
1.03,0.19,0
1.76,-0.20,1
0.93,-0.39,1
1.31,-0.48,1
0.83,0.48,0
-0.71,0.73,0
0.48,0.95,0
0.77,0.60,0
0.24,-0.12,1
0.23,-0.19,1
