"id","SepL","SepW","PetL","PetW","Species"
"1","3.5","5.1","0.2","1.4","setosa"
"2","3","4.9","0.2","1.4","setosa"
"3","3.2","4.7","0.2","1.3","setosa"
"4","3.1","4.6","0.2","1.5","setosa"
"5","3.6","5","0.2","1.4","setosa"
"6","3.9","5.4","0.4","1.7","setosa"
"7","3.4","4.6","0.3","1.4","setosa"
"8","3.4","5","0.2","1.5","setosa"
"9","2.9","4.4","0.2","1.4","setosa"
"10","3.1","4.9","0.1","1.5","setosa"
"11","3.7","5.4","0.2","1.5","setosa"
"12","3.4","4.8","0.2","1.6","setosa"
"13","3","4.8","0.1","1.4","setosa"
"14","3","4.3","0.1","1.1","setosa"
"15","4","5.8","0.2","1.2","setosa"
"16","4.4","5.7","0.4","1.5","setosa"
"17","3.9","5.4","0.4","1.3","setosa"
"18","3.5","5.1","0.3","1.4","setosa"
"19","3.8","5.7","0.3","1.7","setosa"
"20","3.8","5.1","0.3","1.5","setosa"
"21","3.4","5.4","0.2","1.7","setosa"
"22","3.7","5.1","0.4","1.5","setosa"
"23","3.6","4.6","0.2","1","setosa"
"24","3.3","5.1","0.5","1.7","setosa"
"25","3.4","4.8","0.2","1.9","setosa"
"26","3","5","0.2","1.6","setosa"
"27","3.4","5","0.4","1.6","setosa"
"28","3.5","5.2","0.2","1.5","setosa"
"29","3.4","5.2","0.2","1.4","setosa"
"30","3.2","4.7","0.2","1.6","setosa"
"31","3.1","4.8","0.2","1.6","setosa"
"32","3.4","5.4","0.4","1.5","setosa"
"33","4.1","5.2","0.1","1.5","setosa"
"34","4.2","5.5","0.2","1.4","setosa"
"35","3.1","4.9","0.2","1.5","setosa"
"36","3.2","5","0.2","1.2","setosa"
"37","3.5","5.5","0.2","1.3","setosa"
"38","3.6","4.9","0.1","1.4","setosa"
"39","3","4.4","0.2","1.3","setosa"
"40","3.4","5.1","0.2","1.5","setosa"
"41","3.5","5","0.3","1.3","setosa"
"42","2.3","4.5","0.3","1.3","setosa"
"43","3.2","4.4","0.2","1.3","setosa"
"44","3.5","5","0.6","1.6","setosa"
"45","3.8","5.1","0.4","1.9","setosa"
"46","3","4.8","0.3","1.4","setosa"
"47","3.8","5.1","0.2","1.6","setosa"
"48","3.2","4.6","0.2","1.4","setosa"
"49","3.7","5.3","0.2","1.5","setosa"
"50","3.3","5","0.2","1.4","setosa"
"51","3.2","7","1.4","4.7","versicolor"
"52","3.2","6.4","1.5","4.5","versicolor"
"53","3.1","6.9","1.5","4.9","versicolor"
"54","2.3","5.5","1.3","4","versicolor"
"55","2.8","6.5","1.5","4.6","versicolor"
"56","2.8","5.7","1.3","4.5","versicolor"
"57","3.3","6.3","1.6","4.7","versicolor"
"58","2.4","4.9","1","3.3","versicolor"
"59","2.9","6.6","1.3","4.6","versicolor"
"60","2.7","5.2","1.4","3.9","versicolor"
"61","2","5","1","3.5","versicolor"
"62","3","5.9","1.5","4.2","versicolor"
"63","2.2","6","1","4","versicolor"
"64","2.9","6.1","1.4","4.7","versicolor"
"65","2.9","5.6","1.3","3.6","versicolor"
"66","3.1","6.7","1.4","4.4","versicolor"
"67","3","5.6","1.5","4.5","versicolor"
"68","2.7","5.8","1","4.1","versicolor"
"69","2.2","6.2","1.5","4.5","versicolor"
"70","2.5","5.6","1.1","3.9","versicolor"
"71","3.2","5.9","1.8","4.8","versicolor"
"72","2.8","6.1","1.3","4","versicolor"
"73","2.5","6.3","1.5","4.9","versicolor"
"74","2.8","6.1","1.2","4.7","versicolor"
"75","2.9","6.4","1.3","4.3","versicolor"
"76","3","6.6","1.4","4.4","versicolor"
"77","2.8","6.8","1.4","4.8","versicolor"
"78","3","6.7","1.7","5","versicolor"
"79","2.9","6","1.5","4.5","versicolor"
"80","2.6","5.7","1","3.5","versicolor"
"81","2.4","5.5","1.1","3.8","versicolor"
"82","2.4","5.5","1","3.7","versicolor"
"83","2.7","5.8","1.2","3.9","versicolor"
"84","2.7","6","1.6","5.1","versicolor"
"85","3","5.4","1.5","4.5","versicolor"
"86","3.4","6","1.6","4.5","versicolor"
"87","3.1","6.7","1.5","4.7","versicolor"
"88","2.3","6.3","1.3","4.4","versicolor"
"89","3","5.6","1.3","4.1","versicolor"
"90","2.5","5.5","1.3","4","versicolor"
"91","2.6","5.5","1.2","4.4","versicolor"
"92","3","6.1","1.4","4.6","versicolor"
"93","2.6","5.8","1.2","4","versicolor"
"94","2.3","5","1","3.3","versicolor"
"95","2.7","5.6","1.3","4.2","versicolor"
"96","3","5.7","1.2","4.2","versicolor"
"97","2.9","5.7","1.3","4.2","versicolor"
"98","2.9","6.2","1.3","4.3","versicolor"
"99","2.5","5.1","1.1","3","versicolor"
"100","2.8","5.7","1.3","4.1","versicolor"
"101","3.3","6.3","2.5","6","virginica"
"102","2.7","5.8","1.9","5.1","virginica"
"103","3","7.1","2.1","5.9","virginica"
"104","2.9","6.3","1.8","5.6","virginica"
"105","3","6.5","2.2","5.8","virginica"
